,maker,specific_origin,reference,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin,maker_location_latitude,maker_location_longitude,broad_origin_latitude,broad_origin_longitude
0,A. Morin,Kpime,1676,2015,70.0,France,2.75,Blend,Togo,46.227638,2.213749,8.619543,0.824782
1,A. Morin,Atsane,1676,2015,70.0,France,3.0,Blend,Togo,46.227638,2.213749,8.619543,0.824782
2,A. Morin,Akata,1680,2015,70.0,France,3.5,Blend,Togo,46.227638,2.213749,8.619543,0.824782
3,A. Morin,Quilla,1704,2015,70.0,France,3.5,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
4,A. Morin,Pablino,1319,2014,70.0,France,4.0,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
5,A. Morin,Piura,1019,2013,70.0,France,3.25,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
6,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
7,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
8,A. Morin,Peru,797,2012,63.0,France,3.75,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
9,Alain Ducasse,"Piura,Perou",1173,2013,75.0,France,2.5,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
10,Bonnat,"Cusco,Cacao Cusco",629,2011,75.0,France,3.5,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
11,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,46.227638,2.213749,-9.189967,-75.015152
12,Bonnat,"Porcelana,Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,46.227638,2.213749,-9.189967,-75.015152
13,Laia aka Chat-Noir,"Peru,Batch 51,100",1590,2015,75.0,France,3.25,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
14,Pralus,Peru,1446,2015,75.0,France,3.25,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
15,Raoul Boulanger,Piura,1872,2016,75.0,France,3.25,Criollo,Peru,46.227638,2.213749,-9.189967,-75.015152
16,Valrhona,"Piura,Illanka,Quemazon",1510,2015,63.0,France,4.0,Blend,Peru,46.227638,2.213749,-9.189967,-75.015152
17,Acalli,"Chulucanas,El Platanal",1462,2015,70.0,United States,3.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
18,Acalli,"Tumbes,Norandino",1470,2015,70.0,United States,3.75,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
19,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
20,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
21,Altus aka Cao Artisan,Peru,1133,2013,60.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
22,Arete,Phantom,1924,2016,70.0,United States,4.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
23,Arete,Nacional,1534,2015,68.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
24,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,United States,4.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
25,Cacao Atlanta,Tumbes,1215,2014,75.0,United States,2.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
26,Castronovo,San Martin,1105,2013,70.0,United States,2.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
27,Castronovo,Tumbes,1153,2013,70.0,United States,2.75,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
28,Cello,Peru,1247,2014,70.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
29,Chocolate Alchemist-Philly,"Tumbes,""Zarumilla""",1772,2016,90.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
30,Chocolate Conspiracy,Peru,1259,2014,74.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
31,Dean and Deluca (Belcolade),Peru,180,2007,64.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
32,Durci,"Maranon,Joya Rara",1626,2015,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
33,Eclat (Felchlin),"Maranon,Good,Evil,w,nibs",919,2012,72.0,United States,2.75,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
34,French Broad,"Norandino,batch 161208",1940,2017,70.0,United States,3.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
35,French Broad,"Palo Blanco,Chulucanas",1042,2013,66.0,United States,3.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
36,French Broad,Tumbes Coop,883,2012,70.0,United States,2.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
37,French Broad,"Palo Blanco,Chulucanas",883,2012,61.0,United States,3.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
38,French Broad,"Palo Blanco w,panela,Chulucanas",887,2012,81.0,United States,2.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
39,French Broad,"Maranon Canyon,Fortunato No 4",781,2011,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
40,Fresco,"Maranon,#228,MR,SC",1383,2014,70.0,United States,3.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
41,Fresco,"Maranon,#227,LR,MC",1383,2014,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
42,Fresco,"Maranon,#229,MR,LC",1383,2014,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
43,Fresco,"Maranon,#230,Dominican Republic,LC",1387,2014,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
44,Fresco,"San Martin,Bellavista Coop,#226,Dominican Republic,MC",1117,2013,70.0,United States,3.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
45,Fresco,"Bellavista Coop,#225,LR,MC,CG Exclusive",1149,2013,70.0,United States,4.0,Trinitario,Peru,37.09024,-95.712891,-9.189967,-75.015152
46,Fruition,Maranon,1359,2014,76.0,United States,3.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
47,Fruition,Peru,863,2012,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
48,Guittard,Machu Pichu,259,2008,65.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
49,hexx,Peru,1550,2015,70.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
50,Isidro,Peru,1279,2014,72.0,United States,2.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
51,Just Good Chocolate,Peru,1375,2014,70.0,United States,4.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
52,Kto,San Martin,1422,2014,72.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
53,K'ul,"Maranon,Fortunato No 4",1852,2016,70.0,United States,2.75,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
54,L.A. Burdick (Felchlin),Peru,891,2012,74.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
55,Letterpress,Maranura,1371,2014,70.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
56,Lillie Belle,Perfect Illusion,855,2012,65.0,United States,3.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
57,Lillie Belle,La Selva,903,2012,68.0,United States,3.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
58,Mana,Peru,1219,2014,74.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
59,Manoa,Piura,1007,2012,72.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
60,Map Chocolate,"Maranon,2014",1474,2015,62.0,United States,3.5,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
61,Map Chocolate,"Tumbes,Dear Mr Finley,2014",1606,2015,68.0,United States,3.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
62,Mast Brothers,San Martin,777,2011,75.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
63,Maverick,Tumbes,1430,2014,82.0,United States,3.25,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
64,Maverick,"Morropon,Norandiono Coop,Piura",1430,2014,63.0,United States,3.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
